0,1,2,3,clue
BIG,HOT,IN,POPULAR,OF-THE-MOMENT
CHARACTER,GLYPH,ICON,SYMBOL,PICTOGRAPH
ASSESS,CHARGE,FINE,LEVY,"IMPOSE, AS A PENALTY"
HANDSOME,HIPPO,LEGEND,LIPID,WORDS BEGINNING WITH BODY PARTS
CALCULATOR,CALENDAR,CAMERA,CLOCK,SMARTPHONE FEATURES BEGINNING WITH “C”
CONE,IRIS,LENS,PUPIL,PARTS OF THE EYE
DADA,GRAMMY,MUM,POPPY,FAMILIAL NICKNAMES
EXPOSE,PATE,RESUME,ROSE,WORDS PRONOUNCED DIFFERENTLY WITH ACCENT MARKS
COIN,CREATE,DEVISE,INVENT,BRING INTO BEING
FINE,PRIME,QUALITY,STERLING,EXCELLENT
AT,DOLLAR,PERCENT,POUND,SYMBOLS ABOVE NUMBERS ON A KEYBOARD
BAR,BUCK,TIME,TORCH,PASS THE ___
BATON,SCEPTER,STAFF,WAND,SYMBOLIC RODS
CAVITY,CROWN,FILLING,PLAQUE,DENTAL TERMS
APPROVED,PAID,URGENT,VOID,RUBBER STAMP WORDS
GAP,LEAP,LIGHT,SCHOOL,___ YEAR
FLEECE,HOSE,ROB,STIFF,RIP OFF
CANDLE,CRAYON,HONEYCOMB,SEAL,THINGS MADE OF WAX
CABIN,ENGINE,NOSE,WING,PARTS OF AN AIRPLANE
BULB,EAR,HEAD,STALK,UNITS OF VEGETABLES
DIP,DROP,FALL,SINK,DECLINE
BLAZE,FLY,RACE,TEAR,MOVE WITH SPEED
MODERN,SALSA,SWING,TAP,KINDS OF DANCE
BOOM,CARROT,SHOWER,TALK,BABY ___
CHERRY,FUDGE,NUTS,SPRINKLES,SUNDAE TOPPINGS
DESERT,DITCH,MAROON,STRAND,LEAVE HIGH AND DRY
CURSES,DARN,RATS,SHOOT,“PHOOEY!”
FUZZY,PEPPERS,SEASHELLS,WOODCHUCK,WORDS IN TONGUE TWISTERS
GRANDSTAND,PEACOCK,POSTURE,STRUT,SHOW OFF
MAIN,PARAMOUNT,PRIME,SUPREME,FOREMOST
BLUE,GREEN,WHITE,YELLOW,COLORS IN BRAZIL’S FLAG
CHAIN,COVER,LOVE,SCARLET,___ LETTER
MEAN,MEDIAN,MODE,RANGE,DATA SET DATA
BASE,BOND,ELEMENT,SOLUTION,CHEMISTRY TERMS
AWFUL,PRETTY,RATHER,REAL,ADJECTIVE INTENSIFIERS
GLASS,GROSS,KING,STERN,RADIO HALL OF FAME MEMBERS
CON,DUPE,FOOL,TRICK,DECEIVE
DOPE,SCOOP,SKINNY,WORD,INSIDE INFO
CANT,LEAN,LIST,SLOPE,TILT TO ONE SIDE
BOOB,EGGSHELL,GIGGLE,HELLO,WORDS SPELLED WITH AN UPSIDE-DOWN CALCULATOR
BALLOT,ROSTER,SLATE,TICKET,LIST OF CANDIDATES
BUFFER,CUSHION,PAD,SHIELD,PROTECTIVE BARRIER
CAPSULE,CREAM,SYRUP,TABLET,MEDICINE FORMATS
COAT,GREEN,POD,SOUP,PEA ___
BILL,CHECK,INVOICE,TAB,THINGS TO PAY
PINCH,ROB,STEAL,SWIPE,THIEVE
BUCK,BULL,JACK,TOM,MALE ANIMALS
JEAN,PANT,SHORT,TIGHT,"LEGWEAR, IN THE SINGULAR"
BADGE,INVITE,PASS,TICKET,CREDENTIALS FOR ENTRY
CHAIR,DIRECT,LEAD,RUN,PRESIDE OVER
CENTER,END,SAFETY,TACKLE,AMERICAN FOOTBALL POSITIONS
HOLD,PUNT,STALL,TABLE,POSTPONE
ISSUE,MATTER,POINT,SUBJECT,TOPIC OF DISCUSSION
CHAPTER,PERIOD,PHASE,STAGE,SECTION OF ONE’S LIFE
DASH,SHOCK,TANK,WHEEL,"PARTS OF A CAR, INFORMALLY"
BLEW,CHORAL,READ,ROWS,COLOR HOMOPHONES
GAS,LIQUID,PLASMA,SOLID,STATES OF MATTER
GREAT,HERO,ICON,LEGEND,ALL-TIMER
PHAT,PHEW,PHILLY,PHISH,“PH” WORDS THAT ALSO WORK WITH “F”
ELEVATOR,FEVER,PERFECT,SALES,___ PITCH
CHARM,CURSE,HEX,SPELL,BIT OF MAGIC
FLUE,GRATE,LOG,POKER,FOUND AROUND A FIREPLACE
CARDS,CHIPS,DICE,SLOTS,THINGS SEEN AT A CASINO
CRUMBLE,MELT,SHRED,SLICE,WAYS TO PREPARE CHEESE
BROOM,MOP,RAG,SPONGE,CLEANING SUPPLIES
SALT,FAT,ACID,HEAT,"ELEMENTS OF COOKING, PER SAMIN NOSRAT"
DUST,PEPPER,POLLEN,SMOKE,THINGS THAT MAKE YOU SNEEZE
MAGNUM,MONK,SHAFT,TRACY,TITULAR FICTIONAL DETECTIVES
BASKETBALL,CARROT,GOLDFISH,PUMPKIN,THINGS THAT ARE ORANGE
POLE,ROD,STAFF,STICK,"LONG, SKINNY OBJECTS"
CART,CLUB,HOLE,TEE,SEEN ON A GOLF COURSE
CIRCLE,HORSESHOE,PITCHFORK,TRIANGLE,SHAPES OF CAPITAL GREEK LETTERS
ALPHABET,AMAZON,APPLE,META,TECH COMPANIES
BAR,FINAL,ORAL,PHYSICAL,KINDS OF EXAMS
BEAUTY,GEM,MARVEL,PEACH,SOMETHING EXEMPLARY
BABY,EYE,SWEET,WISDOM,___ TOOTH
FUNK,MUSK,ODOR,TANG,STRONG SMELL
ROCK,SWAY,SWING,WAVE,MOVE BACK AND FORTH
AFRO,BONE,FIGHT,LOCK,THINGS TO PICK
CRYSTAL,DISCO,FOUL,GUTTER,___ BALL
JOSH,KID,RIB,TEASE,PLAYFULLY BOTHER
HEIGHT,MAX,PEAK,TOP,APEX
DOZEN,GROSS,PAIR,SCORE,WORDS FOR SPECIFIC QUANTITIES
ADULT,KISS,TEN,TIMES,WHAT “X” MIGHT MEAN
BOW,BOX,CARD,WRAPPING,GIFT-GIVING ACCESSORIES
BLOCK,MATCH,MESSAGE,SWIPE,DATING APP ACTIONS
FIRE,LIT,SICK,TIGHT,"COOL, IN SLANG"
BREAK,CHARM,DUCK,STRIKE,LUCKY ___
FLOAT,FLY,GLIDE,SOAR,MOVE THROUGH THE AIR
BUG,MIKE,TAP,WIRE,HIDDEN LISTENING DEVICES
CHECK,MARK,TICK,X,"SELECT, AS A BOX ON A FORM"
